Temperature - (Celsius), Year, Statistics, Longitude, Latitude
14.300000190735, 1911, Apr Average, 121, 31
18.200000762939, 1911, May Average, 121, 31
22.89999961853, 1911, Jun Average, 121, 31
26.89999961853, 1911, Jul Average, 121, 31
27.10000038147, 1911, Aug Average, 121, 31
24.60000038147, 1911, Sep Average, 121, 31
17, 1911, Oct Average, 121, 31
11.800000190735, 1911, Nov Average, 121, 31
6.4000000953674, 1911, Dec Average, 121, 31
3.6000001430511, 1912, Jan Average, 121, 31
7, 1912, Feb Average, 121, 31
8.3000001907349, 1912, Mar Average, 121, 31
15.10000038147, 1912, Apr Average, 121, 31
19.800001144409, 1912, May Average, 121, 31
24.300001144409, 1912, Jun Average, 121, 31
27.700000762939, 1912, Jul Average, 121, 31
26.800001144409, 1912, Aug Average, 121, 31
22.300001144409, 1912, Sep Average, 121, 31
17.5, 1912, Oct Average, 121, 31
10.400000572205, 1912, Nov Average, 121, 31
5.8000001907349, 1912, Dec Average, 121, 31
4.3000001907349, 1913, Jan Average, 121, 31
4.9000000953674, 1913, Feb Average, 121, 31
7.8000001907349, 1913, Mar Average, 121, 31
13.60000038147, 1913, Apr Average, 121, 31
18.5, 1913, May Average, 121, 31
23.700000762939, 1913, Jun Average, 121, 31
26.5, 1913, Jul Average, 121, 31
27.800001144409, 1913, Aug Average, 121, 31
22.800001144409, 1913, Sep Average, 121, 31
17.800001144409, 1913, Oct Average, 121, 31
12.300000190735, 1913, Nov Average, 121, 31
5.3000001907349, 1913, Dec Average, 121, 31
5.9000000953674, 1914, Jan Average, 121, 31
6.9000000953674, 1914, Feb Average, 121, 31
10.300000190735, 1914, Mar Average, 121, 31
14.300000190735, 1914, Apr Average, 121, 31
18.700000762939, 1914, May Average, 121, 31
24.300001144409, 1914, Jun Average, 121, 31
29.39999961853, 1914, Jul Average, 121, 31
27.89999961853, 1914, Aug Average, 121, 31
23.200000762939, 1914, Sep Average, 121, 31
18.800001144409, 1914, Oct Average, 121, 31
12.800000190735, 1914, Nov Average, 121, 31
6.8000001907349, 1914, Dec Average, 121, 31
4.5999999046326, 1915, Jan Average, 121, 31
5.5999999046326, 1915, Feb Average, 121, 31
8.5, 1915, Mar Average, 121, 31
13.60000038147, 1915, Apr Average, 121, 31
19.700000762939, 1915, May Average, 121, 31
24.200000762939, 1915, Jun Average, 121, 31
27.800001144409, 1915, Jul Average, 121, 31
27.5, 1915, Aug Average, 121, 31
23.10000038147, 1915, Sep Average, 121, 31
19.800001144409, 1915, Oct Average, 121, 31
13.5, 1915, Nov Average, 121, 31
7.8000001907349, 1915, Dec Average, 121, 31
5.5999999046326, 1916, Jan Average, 121, 31
5.5, 1916, Feb Average, 121, 31
7.7000002861023, 1916, Mar Average, 121, 31
14.699999809265, 1916, Apr Average, 121, 31
19.39999961853, 1916, May Average, 121, 31
24, 1916, Jun Average, 121, 31
26.89999961853, 1916, Jul Average, 121, 31
26.60000038147, 1916, Aug Average, 121, 31
24.300001144409, 1916, Sep Average, 121, 31
17.700000762939, 1916, Oct Average, 121, 31
12.400000572205, 1916, Nov Average, 121, 31
6.3000001907349, 1916, Dec Average, 121, 31
1.2000000476837, 1917, Jan Average, 121, 31
4.3000001907349, 1917, Feb Average, 121, 31
7.5999999046326, 1917, Mar Average, 121, 31
14.699999809265, 1917, Apr Average, 121, 31
18.700000762939, 1917, May Average, 121, 31
23.800001144409, 1917, Jun Average, 121, 31
27.300001144409, 1917, Jul Average, 121, 31
27.60000038147, 1917, Aug Average, 121, 31
24.700000762939, 1917, Sep Average, 121, 31
17.700000762939, 1917, Oct Average, 121, 31
10.400000572205, 1917, Nov Average, 121, 31
3.5, 1917, Dec Average, 121, 31
1.3000000715256, 1918, Jan Average, 121, 31
5.5999999046326, 1918, Feb Average, 121, 31
8.5, 1918, Mar Average, 121, 31
14.300000190735, 1918, Apr Average, 121, 31
18.89999961853, 1918, May Average, 121, 31
23.200000762939, 1918, Jun Average, 121, 31
27, 1918, Jul Average, 121, 31
27.700000762939, 1918, Aug Average, 121, 31
23.39999961853, 1918, Sep Average, 121, 31
18.10000038147, 1918, Oct Average, 121, 31
11.900000572205, 1918, Nov Average, 121, 31
7.5999999046326, 1918, Dec Average, 121, 31
3.7999999523163, 1919, Jan Average, 121, 31
4.8000001907349, 1919, Feb Average, 121, 31
10.10000038147, 1919, Mar Average, 121, 31
15.900000572205, 1919, Apr Average, 121, 31
20.200000762939, 1919, May Average, 121, 31
24.60000038147, 1919, Jun Average, 121, 31
26.89999961853, 1919, Jul Average, 121, 31
27.700000762939, 1919, Aug Average, 121, 31
22.700000762939, 1919, Sep Average, 121, 31
17.60000038147, 1919, Oct Average, 121, 31
11.60000038147, 1919, Nov Average, 121, 31
5.7000002861023, 1919, Dec Average, 121, 31
4.0999999046326, 1920, Jan Average, 121, 31
3.7000000476837, 1920, Feb Average, 121, 31
8.5, 1920, Mar Average, 121, 31
13.300000190735, 1920, Apr Average, 121, 31
18.89999961853, 1920, May Average, 121, 31
23.39999961853, 1920, Jun Average, 121, 31
27.5, 1920, Jul Average, 121, 31
27.700000762939, 1920, Aug Average, 121, 31
24.60000038147, 1920, Sep Average, 121, 31
18.60000038147, 1920, Oct Average, 121, 31
13.900000572205, 1920, Nov Average, 121, 31
8.5, 1920, Dec Average, 121, 31
4.5, 1921, Jan Average, 121, 31
6, 1921, Feb Average, 121, 31
8.6000003814697, 1921, Mar Average, 121, 31
14.10000038147, 1921, Apr Average, 121, 31
19.10000038147, 1921, May Average, 121, 31
22.39999961853, 1921, Jun Average, 121, 31
27.800001144409, 1921, Jul Average, 121, 31
27.39999961853, 1921, Aug Average, 121, 31
23.5, 1921, Sep Average, 121, 31
16.700000762939, 1921, Oct Average, 121, 31
11.800000190735, 1921, Nov Average, 121, 31
7.5, 1921, Dec Average, 121, 31
4.4000000953674, 1922, Jan Average, 121, 31
6.7000002861023, 1922, Feb Average, 121, 31
9.3000001907349, 1922, Mar Average, 121, 31
15, 1922, Apr Average, 121, 31
19.39999961853, 1922, May Average, 121, 31
24.10000038147, 1922, Jun Average, 121, 31
27.800001144409, 1922, Jul Average, 121, 31
27.89999961853, 1922, Aug Average, 121, 31
23.39999961853, 1922, Sep Average, 121, 31
18.200000762939, 1922, Oct Average, 121, 31
11.400000572205, 1922, Nov Average, 121, 31
6.0999999046326, 1922, Dec Average, 121, 31
3.7999999523163, 1923, Jan Average, 121, 31
4, 1923, Feb Average, 121, 31
10.400000572205, 1923, Mar Average, 121, 31
14, 1923, Apr Average, 121, 31
19.60000038147, 1923, May Average, 121, 31
23.5, 1923, Jun Average, 121, 31
26.700000762939, 1923, Jul Average, 121, 31
28.10000038147, 1923, Aug Average, 121, 31
