Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Dominican Republic,CAIT,Industrial Processes,CO2,MtCO₂e,1.92,1.92,1.92,1.86,1.65,1.61,1.56,1.61,1.52,1.67,1.65,1.54,1.14,1.1,1.21,1.28,1.16,1.07,0.97,0.8,0.79,0.7,0.62,0.55,0.55,0.59,0.53,0.46
Dominican Republic,CAIT,Transportation,CO2,MtCO₂e,6.51,6.63,6.13,5.05,5.79,6.56,6.05,5.74,5.64,5.44,5.95,5.86,5.76,5.44,5.26,5.73,5.34,5.33,5.2,4.88,4.46,3.89,3.52,3.15,2.66,2.46,2.28,2.31
Ecuador,CAIT,Industrial Processes,CO2,MtCO₂e,2.21,2.21,2.33,2.6,2.61,2.35,2.24,2.09,2.11,2.22,1.83,1.74,1.57,1.49,1.35,1.32,1.3,1.26,1.03,1.17,1.3,1.36,1.18,0.97,0.95,1.02,1.04,1.02
Ecuador,CAIT,Transportation,CO2,MtCO₂e,18.2,17.1,16.93,16.26,15.12,14.18,13.7,12.66,10.48,9.96,10.0,10.2,9.91,9.48,9.15,8.82,8.48,7.99,9.05,9.98,10.67,10.07,8.27,8.68,8.16,8.13,8.02,7.83
Egypt,CAIT,Industrial Processes,CO2,MtCO₂e,20.14,20.9,20.5,19.79,20.13,22.61,17.9,18.48,19.51,16.72,17.1,15.57,14.14,12.69,11.89,12.72,11.75,11.17,10.83,9.79,9.21,8.78,8.32,7.62,7.6,8.1,7.86,6.77
Egypt,CAIT,Transportation,CO2,MtCO₂e,55.71,57.4,54.98,53.6,51.4,50.9,46.77,44.84,41.78,39.05,37.03,33.46,30.79,31.34,30.64,29.02,28.16,29.25,28.39,26.72,24.07,22.48,21.23,20.02,18.28,17.57,16.9,16.15
El Salvador,CAIT,Industrial Processes,CO2,MtCO₂e,0.39,0.39,0.39,0.39,0.47,0.54,0.52,0.51,0.48,0.52,0.52,0.53,0.46,0.52,0.58,0.56,0.5,0.45,0.44,0.46,0.44,0.41,0.38,0.37,0.37,0.18,0.29,0.28
El Salvador,CAIT,Transportation,CO2,MtCO₂e,3.36,3.44,3.3,2.8,2.78,2.74,3.11,3.01,3.06,2.95,3.15,2.94,3.06,2.84,2.68,2.47,2.54,2.53,2.61,2.29,2.13,2.1,2.12,1.86,1.75,1.6,1.38,1.27
Equatorial Guinea,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,CAIT,Transportation,CO2,MtCO₂e,0.98,1.03,1.02,1.01,0.99,0.93,0.91,0.9,0.89,0.88,0.87,0.83,0.77,0.7,0.68,0.59,0.21,0.36,0.12,0.08,0.09,0.04,0.02,0.02,0.02,0.02,0.02,0.02
Eritrea,CAIT,Industrial Processes,CO2,MtCO₂e,0.08,0.08,0.08,0.12,0.1,0.1,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0
Eritrea,CAIT,Transportation,CO2,MtCO₂e,0.23,0.19,0.18,0.18,0.18,0.17,0.16,0.14,0.12,0.12,0.13,0.14,0.18,0.25,0.28,0.27,0.25,0.21,0.21,0.23,0.36,0.39,0.33,0.29,0.21,0.12,N/A,N/A
Estonia,CAIT,Industrial Processes,CO2,MtCO₂e,0.31,0.19,0.21,0.42,0.4,0.41,0.42,0.31,0.26,0.6,0.6,0.41,0.37,0.36,0.34,0.36,0.38,0.37,0.36,0.4,0.4,0.36,0.35,0.33,0.23,0.32,N/A,N/A
Estonia,CAIT,Transportation,CO2,MtCO₂e,2.43,2.35,2.3,2.23,2.23,2.28,2.25,2.26,2.13,2.37,2.44,2.31,2.15,2.04,2.0,2.08,1.97,1.65,1.65,1.66,1.56,1.52,1.39,1.38,1.16,1.07,2.15,2.36
Eswatini,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eswatini,CAIT,Transportation,CO2,MtCO₂e,0.68,0.47,0.63,0.61,0.62,0.56,0.53,0.54,0.57,0.49,0.52,0.51,0.51,0.48,0.47,0.45,0.44,0.51,0.49,0.43,0.41,0.3,0.45,0.45,0.44,0.44,0.46,0.45
Ethiopia,CAIT,Industrial Processes,CO2,MtCO₂e,3.2,3.2,2.89,2.09,1.95,1.34,0.8,0.63,0.65,0.7,0.63,0.68,0.62,0.52,0.45,0.36,0.36,0.36,0.26,0.3,0.3,0.28,0.25,0.19,0.14,0.12,0.12,0.14
Ethiopia,CAIT,Transportation,CO2,MtCO₂e,6.43,5.74,4.71,4.24,3.8,3.25,2.86,2.71,2.65,2.54,2.45,2.26,2.12,2.34,2.17,2.08,1.99,1.59,1.45,1.41,1.28,1.21,1.09,0.98,0.88,0.73,0.93,0.93
European Union (27),CAIT,Industrial Processes,CO2,MtCO₂e,72.29,70.16,70.18,70.79,67.6,71.33,75.71,76.98,78.56,96.06,103.08,98.64,96.05,95.56,91.37,90.13,91.03,93.31,92.03,90.64,88.79,86.78,89.86,86.52,81.28,86.62,81.6,87.34
European Union (27),CAIT,Transportation,CO2,MtCO₂e,806.76,792.25,773.05,758.68,751.42,757.98,788.52,794.13,800.13,826.78,843.56,834.69,822.93,824.51,805.01,790.84,782.75,768.34,768.71,750.78,721.41,709.99,687.32,678.76,674.19,669.05,651.17,642.96
Fiji,CAIT,Industrial Processes,CO2,MtCO₂e,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.04,0.05,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03
Fiji,CAIT,Transportation,CO2,MtCO₂e,0.94,0.92,0.77,0.66,0.58,0.52,0.54,0.53,0.42,0.43,0.58,0.58,0.54,0.55,0.47,0.44,0.55,0.45,0.41,0.41,0.42,0.43,0.43,0.41,0.43,0.44,0.42,0.41
Finland,CAIT,Industrial Processes,CO2,MtCO₂e,0.6,0.55,0.46,0.47,0.48,0.5,0.56,0.53,0.39,0.62,0.61,0.57,0.54,0.53,0.47,0.48,0.5,0.5,0.48,0.45,0.45,0.38,0.38,0.36,0.36,0.47,0.57,0.73
Finland,CAIT,Transportation,CO2,MtCO₂e,11.31,11.91,10.7,10.71,11.83,11.99,12.29,12.47,11.96,12.53,13.15,12.81,12.63,12.6,12.27,12.07,11.89,11.75,12.17,11.86,11.7,11.09,11.36,11.57,11.12,11.35,11.4,11.72
France,CAIT,Industrial Processes,CO2,MtCO₂e,6.48,6.64,6.61,6.98,7.3,7.5,8.07,7.89,7.68,8.88,9.33,9.17,9.11,9.07,8.56,8.64,8.66,8.56,8.39,8.69,8.11,8.44,8.64,8.78,8.59,9.34,10.39,10.94
France,CAIT,Transportation,CO2,MtCO₂e,128.14,127.7,127.59,126.43,126.27,127.46,128.63,123.27,122.93,124.32,130.3,131.12,130.8,133.06,132.82,134.14,134.22,132.48,129.52,129.12,124.64,122.12,122.32,121.38,120.48,119.36,116.85,113.47
Gabon,CAIT,Industrial Processes,CO2,MtCO₂e,0.09,0.09,0.06,0.07,0.07,0.08,0.09,0.09,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.07,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05
Gabon,CAIT,Transportation,CO2,MtCO₂e,0.2,0.85,0.81,0.84,0.85,0.76,0.73,0.64,0.41,0.44,0.43,0.37,0.37,0.37,0.35,0.39,0.36,0.32,0.39,0.41,0.38,0.35,0.34,0.31,0.39,0.37,0.39,0.32
Gambia,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,CAIT,Transportation,CO2,MtCO₂e,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.22,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0.11,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Georgia,CAIT,Industrial Processes,CO2,MtCO₂e,0.69,0.69,0.67,0.62,0.62,0.58,0.57,0.33,0.33,0.17,0.17,0.18,0.18,0.17,0.14,0.14,0.14,0.14,0.14,0.08,0.04,0.04,0.04,0.04,0.12,0.2,N/A,N/A
Georgia,CAIT,Transportation,CO2,MtCO₂e,3.87,4.29,3.78,3.44,3.07,2.45,2.31,2.26,2.17,1.74,2.07,1.57,1.51,1.2,1.24,1.21,1.15,0.95,1.13,1.25,1.89,2.52,1.03,1.48,2.0,2.33,2.8,3.72
Germany,CAIT,Industrial Processes,CO2,MtCO₂e,13.41,12.66,12.63,12.9,12.5,13.29,13.39,12.43,12.56,13.58,14.45,13.34,13.05,14.07,13.51,12.82,13.5,15.25,15.77,15.54,15.27,14.81,15.56,15.34,14.53,14.44,13.74,15.3
Germany,CAIT,Transportation,CO2,MtCO₂e,163.49,161.02,157.59,154.57,152.37,148.51,149.94,148.12,147.06,148.89,148.38,153.48,155.63,163.99,164.04,167.12,169.54,173.47,177.66,172.81,169.8,169.06,167.93,166.04,168.67,164.06,161.48,158.6
Ghana,CAIT,Industrial Processes,CO2,MtCO₂e,1.03,1.03,0.99,1.16,1.17,1.15,0.96,0.81,0.69,0.69,0.7,0.71,0.71,0.75,0.76,0.76,0.76,0.79,0.76,0.66,0.69,0.61,0.53,0.55,0.49,0.42,0.31,0.28
Ghana,CAIT,Transportation,CO2,MtCO₂e,7.09,7.3,7.9,7.28,7.24,6.84,5.73,5.15,5.05,4.16,3.84,3.65,3.6,3.65,3.15,3.39,2.93,2.93,3.09,2.78,2.33,2.23,2.05,1.88,1.8,1.79,1.5,1.62
Greece,CAIT,Industrial Processes,CO2,MtCO₂e,3.69,3.77,3.47,3.82,3.64,3.1,2.43,4.21,4.58,6.05,6.41,6.6,6.79,6.36,6.37,6.31,6.57,6.54,6.37,6.38,6.41,6.37,6.36,5.92,5.88,5.86,5.72,5.76
Greece,CAIT,Transportation,CO2,MtCO₂e,16.88,17.16,16.69,16.35,16.31,16.42,19.64,21.99,24.8,22.2,22.88,22.29,21.78,21.39,20.98,20.03,19.77,19.07,19.6,19.42,17.78,17.19,16.71,16.59,16.49,16.28,15.88,15.06
Grenada,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,CAIT,Transportation,CO2,MtCO₂e,0.1,0.1,0.1,0.11,0.1,0.15,0.11,0.12,0.33,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.06,0.06,0.05,0.06,0.04,0.04
Guatemala,CAIT,Industrial Processes,CO2,MtCO₂e,1.36,1.36,1.36,1.36,1.15,1.12,1.12,1.1,0.59,0.99,1.0,0.97,0.98,0.91,0.83,0.84,0.85,0.84,0.68,0.64,0.55,0.47,0.5,0.51,0.48,0.6,0.62,0.72
Guatemala,CAIT,Transportation,CO2,MtCO₂e,8.15,7.89,7.26,6.34,5.94,5.65,5.63,5.75,5.83,5.12,5.6,5.29,5.11,4.75,4.88,4.9,4.5,3.84,3.58,3.41,2.87,2.7,2.71,2.17,2.05,1.87,1.78,1.71
Guinea,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,CAIT,Transportation,CO2,MtCO₂e,1.27,1.26,1.19,1.14,1.08,1.07,1.0,0.94,0.77,0.71,0.7,0.67,0.64,0.61,0.57,0.53,0.5,0.46,0.44,0.4,0.35,0.32,0.3,0.29,0.29,0.29,0.29,0.27
Guinea-Bissau,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,CAIT,Transportation,CO2,MtCO₂e,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.02,0.08,0.06,0.06,0.04,0.05,0.05,0.06,0.05,0.06,0.06
Guyana,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,CAIT,Transportation,CO2,MtCO₂e,0.76,0.76,0.68,0.68,0.62,0.66,0.64,0.6,0.59,0.53,0.53,0.48,0.52,0.54,0.52,0.52,0.54,0.53,0.56,0.49,0.5,0.46,0.41,0.39,0.22,0.22,0.23,0.25
Haiti,CAIT,Industrial Processes,CO2,MtCO₂e,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.11,0.09
Haiti,CAIT,Transportation,CO2,MtCO₂e,1.44,1.42,1.4,1.17,0.9,0.96,1.1,1.08,0.94,0.92,0.95,0.78,0.78,0.77,0.79,0.82,0.78,0.71,0.66,0.64,0.58,0.56,0.5,0.11,0.38,0.41,0.4,0.43
Honduras,CAIT,Industrial Processes,CO2,MtCO₂e,0.66,0.66,0.66,0.66,0.66,0.67,0.63,0.63,0.71,0.71,0.71,0.68,0.57,0.57,0.53,0.51,0.56,0.55,0.42,0.38,0.45,0.41,0.31,0.27,0.31,0.28,0.3,0.28
Honduras,CAIT,Transportation,CO2,MtCO₂e,3.92,4.02,3.97,3.29,3.16,3.17,3.05,2.97,2.97,3.04,3.16,1.99,2.13,2.33,2.3,2.26,2.25,2.12,2.12,1.83,1.65,1.5,1.55,1.54,1.32,1.16,1.04,1.05
Hungary,CAIT,Industrial Processes,CO2,MtCO₂e,0.78,0.71,0.68,0.57,0.52,0.68,0.56,0.74,0.97,1.26,1.33,1.3,1.2,1.29,1.41,1.43,1.36,1.35,1.22,1.22,1.17,1.11,1.19,1.18,1.02,0.86,1.1,1.75
Hungary,CAIT,Transportation,CO2,MtCO₂e,12.84,12.19,11.93,10.93,9.79,10.51,10.83,11.65,12.81,12.89,12.97,12.6,11.8,10.89,10.4,9.95,9.34,8.87,8.93,8.4,7.53,7.11,7.12,6.92,7.1,7.11,7.35,8.4
Iceland,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.06,0.06,0.06,0.05,0.05,0.03,0.04,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.05
Iceland,CAIT,Transportation,CO2,MtCO₂e,1.0,0.93,0.85,0.82,0.82,0.8,0.82,0.85,0.89,0.91,0.97,0.9,0.67,0.67,0.64,0.64,0.64,0.63,0.62,0.61,0.59,0.68,0.61,0.66,0.63,0.64,0.64,0.63
India,CAIT,Industrial Processes,CO2,MtCO₂e,108.9,110.6,111.8,108.0,104.3,101.4,96.49,91.37,85.05,73.08,68.51,64.23,60.84,56.95,54.47,51.5,47.66,45.97,45.13,40.45,37.98,34.6,31.46,28.54,26.6,25.16,24.5,22.35
India,CAIT,Transportation,CO2,MtCO₂e,291.23,269.4,257.75,235.75,226.26,221.52,209.3,192.92,178.71,163.21,142.98,120.65,115.4,108.05,99.53,97.74,94.92,95.09,93.31,88.78,85.8,83.8,78.29,70.81,68.55,68.55,66.93,64.39
Indonesia,CAIT,Industrial Processes,CO2,MtCO₂e,30.1,28.71,24.51,25.48,24.77,23.27,21.06,19.44,19.44,20.54,19.57,19.05,18.53,19.05,17.81,18.14,18.46,16.45,14.08,13.08,16.01,14.27,13.32,12.54,10.78,9.78,9.09,7.72
Indonesia,CAIT,Transportation,CO2,MtCO₂e,141.68,133.64,122.57,136.59,136.12,129.63,108.5,89.11,81.68,72.07,67.81,66.3,69.84,70.84,69.28,68.0,66.76,62.7,58.78,59.2,60.65,54.6,49.26,45.35,40.49,37.91,35.85,32.2
Iran,CAIT,Industrial Processes,CO2,MtCO₂e,18.66,19.01,20.25,23.05,23.92,24.43,23.35,21.87,17.98,15.89,14.84,12.46,11.37,11.46,11.08,10.62,10.09,9.23,8.6,8.37,7.62,7.32,6.55,6.48,6.53,6.25,6.21,5.43
Iran,CAIT,Transportation,CO2,MtCO₂e,134.83,130.24,139.11,141.15,128.24,123.77,116.94,116.75,125.21,115.23,110.55,111.14,104.93,96.96,91.43,86.57,80.31,76.49,71.21,63.73,61.27,59.93,55.71,56.75,49.81,44.15,42.32,39.15
Iraq,CAIT,Industrial Processes,CO2,MtCO₂e,5.05,5.05,5.05,4.54,4.18,3.48,3.54,2.87,2.52,2.31,1.63,1.24,1.05,0.89,0.69,2.54,2.27,2.32,1.95,0.79,0.67,0.64,0.85,0.81,0.82,0.82,2.07,4.17
Iraq,CAIT,Transportation,CO2,MtCO₂e,28.75,25.26,24.81,28.93,35.26,35.51,32.8,27.76,25.27,24.61,25.7,25.88,26.05,24.14,21.57,27.77,28.83,26.37,24.22,24.22,23.76,24.16,24.73,24.79,24.51,23.28,18.35,21.77
Ireland,CAIT,Industrial Processes,CO2,MtCO₂e,1.84,1.79,1.65,1.46,1.11,1.18,0.97,1.11,1.33,2.11,2.37,2.35,2.36,2.3,2.13,1.86,1.85,1.7,1.17,1.06,1.15,0.98,0.88,0.86,0.73,0.75,0.78,0.88
Ireland,CAIT,Transportation,CO2,MtCO₂e,11.67,11.94,11.09,11.09,10.62,10.51,10.78,11.74,12.38,13.71,14.53,13.96,12.81,12.0,11.29,11.09,10.89,10.4,9.58,8.65,7.29,6.92,5.9,5.77,5.53,5.5,5.09,4.9
Israel,CAIT,Industrial Processes,CO2,MtCO₂e,2.26,2.26,2.23,2.29,2.17,2.25,2.25,2.02,1.82,2.17,2.27,2.27,2.16,1.95,1.89,1.82,1.82,2.15,2.27,2.19,1.72,1.67,1.9,1.51,1.46,1.3,1.19,0.99
Israel,CAIT,Transportation,CO2,MtCO₂e,17.88,17.49,16.93,16.03,15.89,17.15,15.67,16.45,15.7,15.98,14.5,13.77,13.47,14.17,14.29,13.82,13.28,13.37,12.54,11.79,12.66,11.89,11.27,10.26,9.54,9.07,8.3,8.03
Italy,CAIT,Industrial Processes,CO2,MtCO₂e,7.71,7.68,8.2,8.34,8.88,10.07,12.58,13.28,13.34,16.13,17.91,17.47,17.4,17.41,16.94,16.29,16.39,15.86,15.28,14.54,14.23,13.99,15.31,13.79,14.07,16.43,15.69,15.85
Italy,CAIT,Transportation,CO2,MtCO₂e,97.61,101.71,103.01,105.39,100.72,102.51,109.15,109.19,111.84,117.93,124.74,124.26,122.96,124.04,121.81,120.75,118.49,116.36,116.26,113.42,110.25,108.66,106.89,104.61,104.85,102.96,97.93,96.07
Jamaica,CAIT,Industrial Processes,CO2,MtCO₂e,0.36,0.4,0.42,0.41,0.36,0.34,0.33,0.33,0.39,0.3,0.27,0.31,0.28,0.32,0.31,0.28,0.27,0.27,0.24,0.26,0.24,0.27,0.26,0.23,0.23,0.24,0.19,0.22
Jamaica,CAIT,Transportation,CO2,MtCO₂e,2.01,1.87,1.7,1.74,1.66,1.56,1.84,1.86,1.99,2.04,2.06,2.14,2.21,2.11,2.06,2.07,1.88,1.93,1.92,1.84,1.69,1.6,1.39,1.16,1.16,1.07,1.03,1.08
Japan,CAIT,Industrial Processes,CO2,MtCO₂e,26.43,25.97,25.94,26.56,26.81,25.62,24.98,24.32,25.31,28.55,30.66,31.99,32.28,31.28,31.94,32.42,34.37,35.09,35.01,35.36,39.93,42.56,42.14,42.3,41.22,41.67,40.35,38.7
Japan,CAIT,Transportation,CO2,MtCO₂e,207.07,208.9,211.32,211.97,218.03,220.7,223.03,228.65,227.56,233.72,242.75,249.92,253.72,256.45,256.47,258.74,263.23,261.1,261.46,259.1,259.8,257.48,251.63,243.34,231.06,225.89,221.09,210.79
Jordan,CAIT,Industrial Processes,CO2,MtCO₂e,1.71,1.71,1.63,1.57,1.46,1.41,1.0,1.41,1.39,1.57,1.54,1.4,1.41,1.39,1.28,1.32,1.2,1.02,1.05,1.04,1.29,1.4,1.41,1.62,1.43,1.29,0.56,0.76
Jordan,CAIT,Transportation,CO2,MtCO₂e,9.12,8.3,7.83,7.05,7.11,6.87,5.33,5.22,5.15,4.63,5.09,4.77,4.85,4.4,3.83,3.77,3.71,3.6,3.33,3.25,3.21,3.06,3.01,2.75,2.75,2.67,2.53,2.73
Kazakhstan,CAIT,Industrial Processes,CO2,MtCO₂e,3.55,3.38,3.4,3.19,3.03,2.72,2.72,2.46,1.5,1.75,1.9,1.47,0.93,0.9,0.78,0.62,0.6,0.47,0.33,0.25,0.26,0.44,0.7,0.8,1.56,2.54,N/A,N/A
Kazakhstan,CAIT,Transportation,CO2,MtCO₂e,15.33,15.91,15.3,14.38,13.74,14.59,13.47,13.15,12.44,13.78,12.1,10.54,9.55,9.23,8.65,9.13,8.2,9.38,5.82,7.93,7.04,8.21,9.16,9.05,13.19,15.83,18.09,14.42
Kenya,CAIT,Industrial Processes,CO2,MtCO₂e,2.47,2.47,2.34,2.16,1.97,1.77,1.71,1.43,1.28,1.09,0.99,0.85,0.84,0.71,0.66,0.59,0.53,0.46,0.58,0.58,0.61,0.74,0.64,0.59,0.58,0.62,0.58,0.62
Kenya,CAIT,Transportation,CO2,MtCO₂e,8.69,8.91,8.16,6.58,5.89,4.94,4.66,5.04,4.21,3.38,3.27,3.24,2.89,2.76,2.5,2.8,2.69,2.73,2.7,2.75,2.68,2.71,2.58,2.28,2.38,2.56,2.76,2.69
Kiribati,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiribati,CAIT,Transportation,CO2,MtCO₂e,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
Kuwait,CAIT,Industrial Processes,CO2,MtCO₂e,1.4,1.4,1.47,1.33,1.05,0.83,0.8,0.72,0.72,0.93,0.8,0.78,0.75,0.94,0.68,0.59,0.35,0.46,0.56,0.53,0.79,0.8,0.78,0.41,0.2,0.22,0.04,0.37
Kuwait,CAIT,Transportation,CO2,MtCO₂e,15.02,14.21,14.02,13.34,13.15,12.49,12.15,12.67,11.73,10.54,9.57,9.26,8.16,7.54,7.08,6.51,6.13,6.02,6.01,5.84,5.7,5.45,5.34,5.04,4.78,4.54,1.9,2.84
Kyrgyzstan,CAIT,Industrial Processes,CO2,MtCO₂e,0.5,0.5,0.58,0.67,0.66,0.5,0.41,0.31,0.24,0.5,0.51,0.44,0.41,0.37,0.33,0.23,0.21,0.22,0.17,0.31,0.29,0.25,0.14,0.18,0.32,0.51,N/A,N/A
Kyrgyzstan,CAIT,Transportation,CO2,MtCO₂e,1.86,3.32,2.68,3.15,3.94,3.94,2.77,1.98,2.27,1.96,1.75,1.16,1.09,1.19,0.94,0.78,0.89,0.85,1.13,1.22,1.26,1.18,1.12,0.5,1.58,2.71,4.66,6.02
Laos,CAIT,Industrial Processes,CO2,MtCO₂e,0.96,0.96,0.96,0.91,0.57,0.57,0.49,0.46,0.38,0.15,0.15,0.16,0.1,0.1,0.1,0.1,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Laos,CAIT,Transportation,CO2,MtCO₂e,3.04,2.99,2.35,2.23,1.92,1.69,1.51,1.52,1.51,1.35,1.17,1.07,1.0,0.96,0.93,0.89,0.87,0.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Latvia,CAIT,Industrial Processes,CO2,MtCO₂e,0.44,0.35,0.47,0.56,0.54,0.58,0.56,0.43,0.18,0.17,0.17,0.17,0.13,0.14,0.13,0.12,0.11,0.09,0.14,0.1,0.11,0.11,0.09,0.08,0.02,0.14,N/A,N/A
Latvia,CAIT,Transportation,CO2,MtCO₂e,3.24,3.08,3.06,2.88,2.76,2.73,2.82,3.18,3.11,3.55,3.75,3.32,3.0,2.88,2.74,2.59,2.51,2.12,1.91,1.94,1.97,1.93,2.01,2.11,2.28,2.45,2.79,3.06
Lebanon,CAIT,Industrial Processes,CO2,MtCO₂e,2.35,2.35,2.43,2.4,2.54,2.4,2.58,2.59,2.56,2.33,2.27,2.01,2.75,2.61,2.3,1.68,1.69,1.63,1.33,1.33,0.85,0.78,0.47,0.16,0.19,0.12,0.09,0.11
Lebanon,CAIT,Transportation,CO2,MtCO₂e,9.33,8.86,8.35,7.12,6.72,8.12,5.07,5.05,5.12,4.45,3.07,3.9,4.05,4.02,4.0,3.75,3.74,4.0,4.25,4.46,4.17,4.33,4.18,3.54,3.77,3.23,2.33,1.86
Lesotho,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,CAIT,Transportation,CO2,MtCO₂e,0.64,0.51,0.48,0.43,0.42,0.44,0.41,0.4,0.39,0.35,0.32,0.31,0.32,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25
Liberia,CAIT,Industrial Processes,CO2,MtCO₂e,0.09,0.09,0.12,0.11,0.07,0.05,0.03,0.03,0.03,0.04,0.06,0.06,0.06,0.05,0.01,0.02,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02
Liberia,CAIT,Transportation,CO2,MtCO₂e,0.76,0.87,0.8,0.75,0.54,0.55,0.5,0.43,0.29,0.27,0.33,0.37,0.34,0.31,0.26,0.23,0.19,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.11
Libya,CAIT,Industrial Processes,CO2,MtCO₂e,0.48,0.48,0.55,0.77,0.78,0.76,1.34,2.7,2.5,2.12,2.02,2.08,1.43,1.43,1.4,1.32,1.21,1.21,1.22,1.22,1.02,1.45,1.31,1.55,0.94,0.94,0.97,1.11
Libya,CAIT,Transportation,CO2,MtCO₂e,17.24,18.28,15.15,19.56,17.69,16.89,13.62,18.25,15.61,13.46,11.79,12.96,12.86,12.38,11.89,11.71,11.49,11.13,10.95,9.95,10.1,10.52,9.51,8.84,7.44,6.33,6.23,6.19
