Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bahamas,CAIT,Transportation,CO2,MtCO₂e,0.48,0.37,0.44,0.59,0.7,0.78,0.55,0.46,1.54,0.38,0.37,0.36,0.32,0.29,0.29,0.31,0.31,0.3,0.31,0.32,0.3,0.29,0.31,0.29,0.31,0.38,0.3,0.33
Bahrain,CAIT,Industrial Processes,CO2,MtCO₂e,0.56,0.56,0.52,0.52,0.47,0.47,0.46,0.43,0.25,0.16,0.14,0.14,0.14,0.14,0.05,0.02,0.03,0.03,0.06,0.09,0.07,0.08,0.08,0.09,0.09,0.09,0.06,0.06
Bahrain,CAIT,Transportation,CO2,MtCO₂e,3.74,3.63,3.54,3.4,3.3,3.18,2.96,3.15,3.06,3.11,2.85,2.61,2.5,2.13,1.95,1.79,1.6,1.54,1.45,1.4,1.33,1.26,1.24,1.19,1.17,1.13,1.01,1.0
Bangladesh,CAIT,Industrial Processes,CO2,MtCO₂e,0.8,0.8,0.8,0.75,0.74,0.68,0.7,0.68,0.7,0.7,0.68,0.7,0.75,0.79,0.83,0.88,0.94,0.7,0.43,0.27,0.23,0.15,0.07,0.07,0.07,0.08,0.08,0.1
Bangladesh,CAIT,Transportation,CO2,MtCO₂e,10.94,9.81,9.26,8.85,8.18,8.66,8.57,7.36,6.35,6.02,5.39,5.28,5.06,4.54,3.93,3.86,3.79,3.03,3.1,3.4,3.32,2.94,2.67,2.21,2.17,2.11,1.83,1.67
Barbados,CAIT,Industrial Processes,CO2,MtCO₂e,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.1,0.11,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.13,0.13,0.13,0.09,0.06,0.04,0.04,0.03,0.09,0.1,0.1
Barbados,CAIT,Transportation,CO2,MtCO₂e,0.44,0.43,0.42,0.41,0.42,0.67,0.51,0.47,1.36,0.51,0.45,0.45,0.44,0.42,0.43,0.43,0.41,0.38,0.38,0.38,0.34,0.28,0.33,0.32,0.31,0.36,0.27,0.27
Belarus,CAIT,Industrial Processes,CO2,MtCO₂e,2.22,2.2,2.27,2.67,2.38,2.19,1.97,1.97,1.88,1.82,1.63,1.57,1.46,1.3,1.17,0.99,0.83,0.87,0.9,0.93,0.84,0.65,0.57,0.64,0.86,0.92,N/A,N/A
Belarus,CAIT,Transportation,CO2,MtCO₂e,11.27,10.81,10.4,11.61,12.2,11.69,10.89,10.25,9.66,10.56,9.3,9.14,7.78,6.99,6.83,6.61,6.13,6.46,7.1,8.05,7.62,7.26,6.68,6.74,9.48,11.33,12.26,11.49
Belgium,CAIT,Industrial Processes,CO2,MtCO₂e,2.29,2.44,2.35,2.64,2.54,2.64,2.76,2.58,2.8,3.03,3.09,3.11,2.93,2.84,2.93,2.99,2.96,3.27,3.11,3.18,3.16,3.01,3.26,3.18,3.08,3.09,2.88,2.82
Belgium,CAIT,Transportation,CO2,MtCO₂e,25.21,25.8,26.11,24.42,24.21,24.7,25.51,25.9,26.54,27.4,27.33,26.49,26.08,26.84,25.88,25.24,25.3,24.48,24.19,23.97,23.24,22.9,22.46,22.31,21.73,21.2,20.39,20.21
Belize,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,CAIT,Transportation,CO2,MtCO₂e,0.49,0.5,0.51,0.4,0.37,0.51,0.51,0.35,0.96,0.34,0.31,0.28,0.27,0.26,0.26,0.26,0.28,0.28,0.26,0.29,0.29,0.2,0.28,0.25,0.26,0.28,0.14,0.11
Benin,CAIT,Industrial Processes,CO2,MtCO₂e,0.7,0.7,0.7,0.54,0.55,0.53,0.56,0.5,0.51,0.52,0.6,0.59,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.15,0.24,0.19,0.21,0.15,0.13,0.12
Benin,CAIT,Transportation,CO2,MtCO₂e,5.99,5.8,4.58,4.07,3.84,3.42,3.28,3.17,2.81,2.45,2.43,1.96,1.54,1.4,1.37,1.18,0.99,0.92,0.85,0.75,0.68,0.5,0.12,0.12,0.12,0.12,0.13,0.17
Bhutan,CAIT,Industrial Processes,CO2,MtCO₂e,0.36,0.36,0.3,0.26,0.22,0.2,0.21,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.05,0.04,0.05,0.05,0.0
Bhutan,CAIT,Transportation,CO2,MtCO₂e,0.57,0.54,0.43,0.4,0.42,0.39,0.34,0.28,0.22,0.19,0.2,0.19,0.2,0.18,0.16,0.14,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.05,0.05,0.05,0.05,0.05
Bolivia,CAIT,Industrial Processes,CO2,MtCO₂e,1.49,1.49,1.43,1.38,1.22,1.06,1.04,0.95,0.91,0.8,0.72,0.69,0.61,0.55,0.5,0.44,0.44,0.48,0.54,0.53,0.47,0.42,0.4,0.34,0.3,0.27,0.27,0.25
Bolivia,CAIT,Transportation,CO2,MtCO₂e,10.1,9.5,9.13,8.92,8.35,7.56,7.06,6.4,5.91,5.52,5.01,4.51,3.45,3.39,3.11,2.92,2.87,2.94,3.18,3.17,3.07,3.24,3.13,2.81,2.7,2.34,2.37,2.26
Bosnia and Herzegovina,CAIT,Industrial Processes,CO2,MtCO₂e,0.32,0.32,0.31,0.32,0.34,0.32,0.34,0.36,0.39,0.52,0.47,0.45,0.37,0.39,0.32,0.34,0.26,0.24,0.12,0.12,0.08,0.06,0.09,0.1,0.06,0.06,N/A,N/A
Bosnia and Herzegovina,CAIT,Transportation,CO2,MtCO₂e,3.77,3.61,3.1,2.97,2.82,3.19,3.41,3.4,3.49,3.38,3.05,2.89,2.3,2.39,2.06,2.04,2.13,2.09,1.34,1.4,1.06,1.03,0.99,0.97,0.85,1.06,1.86,2.19
Botswana,CAIT,Industrial Processes,CO2,MtCO₂e,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,CAIT,Transportation,CO2,MtCO₂e,2.55,2.49,2.38,2.22,2.14,2.05,2.03,1.94,1.84,1.98,1.72,1.62,1.5,1.46,1.34,1.25,1.31,1.22,1.13,1.04,0.97,0.9,0.89,0.77,0.8,0.81,0.71,0.65
Brazil,CAIT,Industrial Processes,CO2,MtCO₂e,19.3,20.95,23.77,26.31,26.65,25.0,22.85,21.29,19.03,18.88,17.2,15.44,14.35,13.27,13.1,14.39,15.23,16.05,16.44,16.18,15.27,13.88,11.53,10.09,10.16,9.77,11.78,11.06
Brazil,CAIT,Transportation,CO2,MtCO₂e,200.02,198.89,199.86,215.07,209.63,202.41,185.02,167.85,148.6,151.2,145.82,140.13,137.08,136.36,127.44,129.96,128.01,125.47,124.24,126.89,120.61,113.67,104.19,94.21,90.08,86.61,85.97,82.18
