Ice age (GT4),Dust Conc (ppm)
299383,0.097
300397,0.078
301156,0.053
301917,0.032
302691,0.013
302937,0.029
303657,0.022
305288,0.021
306200,0.111
307131,0.102
308031,0.026
308907,0.02
309483,0.009
310330,0.036
311411,0.022
312208,0.019
314543,0.021
315297,0.045
316524,0.02
316765,0.027
317255,0.044
317999,0.037
319708,0.019
321875,0.032
322513,0.014
324218,0.008
325629,0.012
326761,0.01
327730,0.046
329848,0.117
331050,0.142
334306,0.586
334805,1.035
336766,0.395
338233,0.366
339706,0.439
341187,0.164
342594,0.034
346523,0.277
349620,0.401
355187,0.38
358466,0.24
360071,0.155
364333,0.076
365962,0.268
367507,0.058
369034,0.091
371188,0.224
372991,0.208
374711,0.071
376381,0.085
379524,0.019
381227,0.125
382318,0.033
388065,0.122
391928,0.114
393908,0.157
395792,0.023
397482,0.023
399134,0.019
400228,0.021
403501,0.033
405617,0.016
410200,0.018
410683,0.012
417095,0.013
420527,0.015
421761,0.012
