Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bahamas,CAIT,Total including LUCF,CO2,MtCO₂e,2.49,2.53,2.71,2.97,3.46,3.99,2.77,6.99,10.93,7.02,6.98,6.93,1.06,1.2,1.29,1.31,1.17,0.69,0.78,0.82,0.32,0.52,0.63,0.59,0.65,1.08,0.43,0.33
Bahamas,CAIT,Transportation,CO2,MtCO₂e,0.48,0.37,0.44,0.59,0.7,0.78,0.55,0.46,1.54,0.38,0.37,0.36,0.32,0.29,0.29,0.31,0.31,0.3,0.31,0.32,0.3,0.29,0.31,0.29,0.31,0.38,0.3,0.33
Bahrain,CAIT,Total including LUCF,CO2,MtCO₂e,30.37,30.2,30.59,30.21,28.76,26.57,26.03,25.98,24.72,24.77,23.01,22.49,20.7,17.93,17.95,17.22,16.38,15.87,15.45,15.51,14.41,14.17,13.53,13.37,13.07,12.27,10.34,10.74
Bahrain,CAIT,Transportation,CO2,MtCO₂e,3.74,3.63,3.54,3.4,3.3,3.18,2.96,3.15,3.06,3.11,2.85,2.61,2.5,2.13,1.95,1.79,1.6,1.54,1.45,1.4,1.33,1.26,1.24,1.19,1.17,1.13,1.01,1.0
Bangladesh,CAIT,Total including LUCF,CO2,MtCO₂e,98.14,93.17,91.63,83.45,80.13,77.47,74.9,63.59,56.26,54.0,49.85,47.9,54.65,53.51,50.78,49.54,47.93,44.81,43.38,42.51,42.14,40.03,40.13,37.12,36.14,35.4,34.4,35.1
Bangladesh,CAIT,Transportation,CO2,MtCO₂e,10.94,9.81,9.26,8.85,8.18,8.66,8.57,7.36,6.35,6.02,5.39,5.28,5.06,4.54,3.93,3.86,3.79,3.03,3.1,3.4,3.32,2.94,2.67,2.21,2.17,2.11,1.83,1.67
Barbados,CAIT,Total including LUCF,CO2,MtCO₂e,1.2,1.31,1.29,1.29,1.48,2.22,1.67,1.65,4.68,1.84,1.54,1.53,1.4,1.35,1.37,1.36,1.3,1.22,1.29,1.25,1.15,1.05,1.05,1.01,0.97,1.16,0.96,0.97
Barbados,CAIT,Transportation,CO2,MtCO₂e,0.44,0.43,0.42,0.41,0.42,0.67,0.51,0.47,1.36,0.51,0.45,0.45,0.44,0.42,0.43,0.43,0.41,0.38,0.38,0.38,0.34,0.28,0.33,0.32,0.31,0.36,0.27,0.27
Belarus,CAIT,Total including LUCF,CO2,MtCO₂e,53.18,52.14,53.58,57.86,57.16,58.39,55.4,32.47,28.46,31.29,28.57,31.16,36.51,35.55,34.19,37.31,31.85,40.96,43.01,45.13,46.93,46.41,46.24,53.38,64.95,76.49,84.43,88.04
Belarus,CAIT,Transportation,CO2,MtCO₂e,11.27,10.81,10.4,11.61,12.2,11.69,10.89,10.25,9.66,10.56,9.3,9.14,7.78,6.99,6.83,6.61,6.13,6.46,7.1,8.05,7.62,7.26,6.68,6.74,9.48,11.33,12.26,11.49
Belgium,CAIT,Total including LUCF,CO2,MtCO₂e,90.05,91.6,92.47,87.44,93.89,92.24,92.92,103.77,96.96,104.23,101.88,105.94,107.29,110.7,112.18,107.53,115.03,114.01,111.68,115.58,112.8,115.61,110.74,111.07,106.27,108.5,110.13,105.48
Belgium,CAIT,Transportation,CO2,MtCO₂e,25.21,25.8,26.11,24.42,24.21,24.7,25.51,25.9,26.54,27.4,27.33,26.49,26.08,26.84,25.88,25.24,25.3,24.48,24.19,23.97,23.24,22.9,22.46,22.31,21.73,21.2,20.39,20.21
Belize,CAIT,Total including LUCF,CO2,MtCO₂e,3.47,3.47,3.72,2.54,5.24,2.63,4.65,7.6,6.94,6.96,7.98,6.52,7.93,6.3,8.24,8.24,6.53,5.04,5.04,5.13,4.95,5.02,6.33,6.32,6.33,6.37,6.3,6.2
Belize,CAIT,Transportation,CO2,MtCO₂e,0.49,0.5,0.51,0.4,0.37,0.51,0.51,0.35,0.96,0.34,0.31,0.28,0.27,0.26,0.26,0.26,0.28,0.28,0.26,0.29,0.29,0.2,0.28,0.25,0.26,0.28,0.14,0.11
Benin,CAIT,Total including LUCF,CO2,MtCO₂e,17.9,17.77,16.53,16.05,15.55,15.28,15.52,15.62,15.24,14.89,14.92,14.37,13.31,13.06,12.91,12.65,12.37,16.3,16.2,16.07,16.02,15.83,15.24,15.18,15.19,15.14,15.11,15.16
Benin,CAIT,Transportation,CO2,MtCO₂e,5.99,5.8,4.58,4.07,3.84,3.42,3.28,3.17,2.81,2.45,2.43,1.96,1.54,1.4,1.37,1.18,0.99,0.92,0.85,0.75,0.68,0.5,0.12,0.12,0.12,0.12,0.13,0.17
Bhutan,CAIT,Total including LUCF,CO2,MtCO₂e,-2.48,-2.58,-2.85,-2.88,-2.96,-3.05,-3.14,-2.47,-2.56,-2.53,-2.54,-2.53,-3.99,-4.09,-4.04,-4.0,-4.04,-3.73,-3.74,-3.74,-3.74,-3.82,-3.87,-3.91,-3.94,-3.91,-3.93,-3.98
Bhutan,CAIT,Transportation,CO2,MtCO₂e,0.57,0.54,0.43,0.4,0.42,0.39,0.34,0.28,0.22,0.19,0.2,0.19,0.2,0.18,0.16,0.14,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.05,0.05,0.05,0.05,0.05
Bolivia,CAIT,Total including LUCF,CO2,MtCO₂e,106.0,105.35,104.16,103.92,102.31,100.99,100.19,102.31,101.14,100.28,99.3,98.43,87.07,86.42,86.11,85.23,84.89,85.36,85.33,85.97,85.64,85.49,85.69,86.41,85.19,84.18,83.13,83.05
Bolivia,CAIT,Transportation,CO2,MtCO₂e,10.1,9.5,9.13,8.92,8.35,7.56,7.06,6.4,5.91,5.52,5.01,4.51,3.45,3.39,3.11,2.92,2.87,2.94,3.18,3.17,3.07,3.24,3.13,2.81,2.7,2.34,2.37,2.26
Bosnia and Herzegovina,CAIT,Total including LUCF,CO2,MtCO₂e,22.72,22.41,19.71,19.54,21.9,22.08,23.91,20.89,20.64,20.84,19.05,17.96,16.28,15.62,15.2,14.61,13.86,6.02,2.63,2.78,0.49,-3.77,-4.61,-4.82,5.42,7.98,13.46,15.99
Bosnia and Herzegovina,CAIT,Transportation,CO2,MtCO₂e,3.77,3.61,3.1,2.97,2.82,3.19,3.41,3.4,3.49,3.38,3.05,2.89,2.3,2.39,2.06,2.04,2.13,2.09,1.34,1.4,1.06,1.03,0.99,0.97,0.85,1.06,1.86,2.19
Botswana,CAIT,Total including LUCF,CO2,MtCO₂e,51.32,50.58,96.49,23.1,45.19,20.0,18.71,13.34,17.94,23.18,58.96,25.89,55.52,20.18,64.57,102.08,33.16,45.62,54.32,65.72,57.95,49.38,39.76,39.65,39.82,39.87,39.31,39.38
Botswana,CAIT,Transportation,CO2,MtCO₂e,2.55,2.49,2.38,2.22,2.14,2.05,2.03,1.94,1.84,1.98,1.72,1.62,1.5,1.46,1.34,1.25,1.31,1.22,1.13,1.04,0.97,0.9,0.89,0.77,0.8,0.81,0.71,0.65
Brazil,CAIT,Total including LUCF,CO2,MtCO₂e,752.44,744.51,776.24,801.74,777.2,746.1,711.45,916.12,869.85,890.38,870.08,852.23,1421.65,1418.67,1402.14,1408.45,1410.73,1191.5,1179.45,1170.12,1160.4,1141.75,1121.13,1102.35,1094.81,1088.29,1084.81,1077.89
Brazil,CAIT,Transportation,CO2,MtCO₂e,200.02,198.89,199.86,215.07,209.63,202.41,185.02,167.85,148.6,151.2,145.82,140.13,137.08,136.36,127.44,129.96,128.01,125.47,124.24,126.89,120.61,113.67,104.19,94.21,90.08,86.61,85.97,82.18
Brunei,CAIT,Total including LUCF,CO2,MtCO₂e,7.13,6.83,6.36,7.37,7.36,7.48,7.36,8.69,9.27,9.05,8.67,9.05,6.69,6.77,7.22,6.23,6.23,6.38,6.13,9.38,7.22,6.71,6.4,6.04,5.76,5.48,5.28,5.82
Brunei,CAIT,Transportation,CO2,MtCO₂e,1.33,1.34,1.36,1.35,1.33,1.34,1.28,1.18,1.12,1.13,1.13,1.03,0.95,0.97,0.92,0.88,0.84,0.81,0.81,0.82,0.88,0.84,0.78,0.72,0.68,0.65,0.6,0.55
